iter	RMSE
0	810.3818188
1	773.5649551
2	741.2103406
3	713.8981379
4	690.6191271
5	670.7058043
6	655.0708387
7	641.0026502
8	629.0184431
9	618.8486516
10	610.3482024
11	602.9098616
12	597.2000867
13	591.6853497
14	587.0852446
15	583.3611807
16	579.9040145
17	577.1744446
18	574.4839069
19	572.2726715
20	570.4676651
21	568.9442164
22	567.3175288
23	565.8944576
24	564.7241968
25	563.7258392
26	562.8259672
27	561.8815508
28	561.00437
29	560.1596171
30	559.6103748
31	558.8741297
32	558.2840049
33	557.5954928
34	557.1255015
35	556.6557372
36	556.2968108
37	555.8122024
38	555.4184703
39	555.1555453
40	554.7669108
41	554.4669788
42	553.839091
43	553.5518295
44	553.3062634
45	553.1048682
46	552.7727111
47	552.3485207
48	551.9254196
49	551.5141086
50	551.178877
51	550.7585675
52	550.4386371
53	550.056502
54	549.8076495
55	549.5223113
56	549.1917744
57	548.9721944
58	548.7721916
59	548.4457067
60	548.2672931
61	547.8381961
62	547.6519901
63	547.3203277
64	547.0925362
65	546.858375
66	546.482766
67	546.3140858
68	546.0438749
69	545.8073229
70	545.5751057
71	545.3391771
72	545.1776369
73	544.8070781
74	544.6736557
75	544.296062
76	544.0301604
77	543.879704
78	543.6455725
79	543.4771696
80	543.271042
81	542.9588816
82	542.7226371
83	542.4875479
84	542.1683238
85	542.0831713
86	541.7978504
87	541.5925088
88	541.3394936
89	540.9975458
90	540.7948295
91	540.5127306
92	540.265069
93	540.1278077
94	539.8449242
95	539.6278944
96	539.3464269
97	539.1929006
98	538.9357738
99	538.6452565
100	538.5061124
101	538.3104638
102	538.1166616
103	537.8325746
104	537.4857134
105	537.2709852
106	536.9728747
107	536.6288581
108	536.4443135
109	536.1441614
110	535.8000557
111	535.4171925
112	535.2335807
113	534.9367264
114	534.5982513
115	534.3118674
116	534.0731022
117	533.8549588
118	533.7173187
119	533.5109667
120	533.0168383
121	532.6976379
122	532.3869685
123	532.158442
124	531.8236232
125	531.5968811
126	531.2162589
127	530.7258088
128	530.4686711
129	530.192703
130	529.9375568
131	529.7732882
132	529.5455195
133	529.2486277
134	528.9240228
135	528.7127792
136	528.6250518
137	528.3588942
138	528.2387638
139	527.988199
140	527.7524316
141	527.3412726
142	527.126203
143	526.8149747
144	526.5848505
145	526.0970709
146	525.7917846
147	525.4217489
148	525.2302169
149	524.8998093
150	524.7375993
151	524.4054527
152	524.1856596
153	523.7772785
154	523.3941651
155	523.3059416
156	523.1288119
157	522.9599832
158	522.8219914
159	522.5659916
160	522.3110786
161	522.0542266
162	521.7654685
163	521.4209722
164	521.0380646
165	521.013878
166	520.8462218
167	520.5296504
168	520.4110067
169	520.1709611
170	520.0065686
171	519.6425261
172	519.2619475
173	519.1115396
174	518.9378069
175	518.7763507
176	518.5937168
177	518.3393214
178	518.0494851
179	517.7199577
180	517.5495145
181	517.3862656
182	517.1824697
183	516.9549447
184	516.7032373
185	516.5718683
186	516.2370937
187	516.1212853
188	515.9232539
189	515.7634723
190	515.5768501
191	515.3782231
192	514.9824665
193	514.8244129
194	514.6557934
195	514.4315986
196	514.3321409
197	514.0473219
198	513.9262581
199	513.8862533
200	513.7632634
201	513.6531086
202	513.4492029
203	513.0416261
204	512.7046335
205	512.3360561
206	512.1275154
207	511.8895062
208	511.6085625
209	511.4260094
210	511.3064402
211	511.1025249
212	510.9977479
213	510.6975812
214	510.6169746
215	510.4934443
216	510.2795011
217	509.8928217
218	509.7276892
