iter	Passed	Remaining
0	17	8673
1	32	8051
2	47	7845
3	65	8126
4	81	8102
5	85	7027
6	89	6314
7	101	6250
8	111	6098
9	115	5645
10	132	5876
11	147	6003
12	163	6115
13	178	6185
14	183	5920
15	195	5917
16	214	6081
17	219	5873
18	239	6069
19	255	6131
20	258	5901
21	276	6014
22	316	6561
23	323	6412
24	333	6329
25	338	6175
26	349	6117
27	355	5993
28	359	5845
29	373	5848
30	386	5852
31	391	5724
32	417	5901
33	422	5787
34	434	5770
35	437	5639
36	451	5651
37	457	5568
38	473	5591
39	478	5501
40	491	5504
41	504	5499
42	508	5401
43	522	5410
44	530	5364
45	536	5298
46	541	5215
47	545	5133
48	563	5182
49	575	5178
50	582	5124
51	599	5168
52	612	5167
53	616	5094
54	632	5117
55	645	5120
56	656	5099
57	671	5116
58	689	5150
59	702	5151
60	726	5225
61	749	5293
62	755	5240
63	766	5221
64	784	5249
65	788	5186
66	811	5244
67	832	5288
68	836	5224
69	847	5205
70	852	5149
71	860	5116
72	874	5112
73	880	5070
74	892	5056
75	940	5245
76	952	5230
77	965	5222
78	977	5206
79	993	5214
80	1005	5202
81	1017	5188
82	1032	5189
83	1036	5131
84	1042	5090
85	1046	5035
86	1052	4995
87	1064	4984
88	1074	4962
89	1081	4928
90	1089	4896
91	1101	4886
92	1115	4879
93	1129	4877
94	1140	4861
95	1148	4831
96	1151	4784
97	1160	4759
98	1186	4807
99	1199	4798
100	1214	4798
101	1220	4762
102	1227	4732
103	1232	4691
104	1235	4646
105	1244	4624
106	1249	4589
107	1253	4549
108	1269	4554
109	1279	4534
110	1282	4494
111	1294	4486
112	1312	4494
113	1333	4516
114	1343	4496
115	1348	4464
116	1360	4452
117	1378	4462
118	1382	4425
119	1385	4388
120	1394	4368
121	1401	4343
122	1405	4308
123	1416	4296
124	1426	4280
125	1429	4243
126	1439	4227
127	1444	4197
128	1452	4178
129	1460	4156
130	1472	4146
131	1476	4116
132	1499	4138
133	1509	4122
134	1526	4127
135	1530	4096
136	1534	4066
137	1538	4036
138	1550	4026
139	1553	3995
140	1557	3966
141	1568	3953
142	1572	3926
143	1576	3898
144	1588	3888
145	1592	3862
146	1597	3835
147	1600	3807
148	1609	3792
149	1623	3787
150	1628	3764
151	1654	3788
152	1660	3766
153	1664	3740
154	1678	3735
155	1686	3719
156	1716	3750
157	1724	3733
158	1728	3706
159	1747	3712
160	1762	3711
161	1771	3696
162	1782	3685
163	1789	3666
164	1797	3648
165	1802	3626
166	1808	3605
167	1816	3589
168	1820	3565
169	1830	3553
170	1848	3557
171	1857	3541
172	1863	3522
173	1868	3500
174	1877	3487
175	1882	3465
176	1886	3442
177	1892	3423
178	1900	3408
179	1918	3410
180	1921	3387
181	1929	3371
182	1932	3347
183	1936	3325
184	1946	3314
185	1953	3298
186	1962	3284
187	1965	3262
188	1978	3255
189	1987	3243
190	1997	3231
191	2011	3227
192	2029	3228
193	2037	3214
194	2055	3214
195	2064	3202
196	2072	3188
197	2085	3180
198	2095	3170
199	2113	3170
200	2120	3154
201	2130	3142
202	2146	3139
203	2153	3124
204	2158	3105
205	2161	3084
206	2165	3065
207	2172	3049
208	2183	3040
209	2191	3026
210	2194	3005
211	2203	2993
212	2210	2978
213	2214	2958
214	2221	2945
215	2227	2929
216	2233	2912
217	2249	2909
218	2253	2890
219	2261	2878
220	2269	2865
221	2279	2854
222	2282	2835
223	2305	2840
224	2310	2823
225	2321	2814
226	2331	2804
227	2339	2790
228	2352	2783
229	2360	2770
230	2376	2766
231	2382	2751
232	2395	2744
233	2425	2756
